Round,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
Semi-finals,Tue,2019-06-25,15:00,Tre Penne sm,,0–1,,ad Santa Coloma,35,Stadiumi Fadil Vokrri (Neutral Site),Ian McNabb,Champions-League,8,2019-2020
Semi-finals,Tue,2019-06-25,20:45,Feronikeli al,,1–0,,gi Red Imps,3000,Stadiumi Fadil Vokrri (Neutral Site),Fedayi San,Champions-League,8,2019-2020
,,,,,,,,,,,,Champions-League,8,2019-2020
Final,Fri,2019-06-28,20:45,Feronikeli al,,2–1,,ad Santa Coloma,1900,Stadiumi Fadil Vokrri (Neutral Site),Emmanouil Skoulas,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,19:00,Astana FK kz,,1–0,,ro CFR Cluj,18587,Astana Arena,Lawrence Visser,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,18:00,Ararat-Armenia am,,2–1,,se AIK Stockholm,1497,Armenia Football Academy,Duje Strukan,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,19:00,HJK fi,,3–0,,fo HB,4719,Telia 5G -areena,Giorgi Kruashvili,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,19:00,Nõmme Kalju ee,,0–1,,mk Shkëndija 79,1640,Kadrioru staadion,Donald Robertson,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,19:45,Sarajevo ba,,1–3,,sct Celtic,24723,Olimpijski Stadion Asim Ferhatović Hase,Glenn Nyberg,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,19:00,The New Saints wls,,2–2,,al Feronikeli,1140,Park Hall Stadium,Trustin Farrugia Cann,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,20:00,F91 Dudelange lu,,2–2,,mt Valletta,1152,Stade Josy Barthel,Arnold Hunter,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-09,21:00,Sūduva lt,,0–0,,rs Red Star,3200,ARVI futbolo arena,Jørgen Burchardt,Champions-League,8,2019-2020
First qualifying round,Wed,2019-07-10,17:30,Partizani Tirana al,,0–0,,az Qarabağ Ağdam,2120,Stadiumi Selman Stërmasi,Þorvaldur Árnason,Champions-League,8,2019-2020
First qualifying round,Wed,2019-07-10,20:00,Sheriff Tiraspol md,,0–3,,ge Saburtalo,5706,Bolshaya Sportivnaya Arena,Iwan Griffiths,Champions-League,8,2019-2020
First qualifying round,Wed,2019-07-10,20:00,BATE Borisov by,,1–1,,pl Piast Gliwice,11529,Borisov Arena,Mete Kalkavan,Champions-League,8,2019-2020
First qualifying round,Wed,2019-07-10,20:00,Ferencváros hu,,2–1,,bg Ludogorets,18115,Groupama Arena,Eitan Shmuelevich,Champions-League,8,2019-2020
First qualifying round,Wed,2019-07-10,20:15,Slovan Bratislava sk,,1–1,,me Sutjeska Nikšić,11250,Štadión Tehelné pole,Vitaly Meshkov,Champions-League,8,2019-2020
First qualifying round,Wed,2019-07-10,19:45,Linfield nir,,0–2,,no Rosenborg,2710,Windsor Park,Ivaylo Stoyanov,Champions-League,8,2019-2020
First qualifying round,Wed,2019-07-10,19:45,Dundalk ie,,0–0,,lv Rīga FC,3100,Oriel Park,Peter Kráľovič,Champions-League,8,2019-2020
First qualifying round,Wed,2019-07-10,20:00,Valur is,,0–3,,si Maribor,1201,Origo Völlurinn,Krzysztof Jakubik,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-16,17:00,Shkëndija 79 mk,,1–2,,ee Nõmme Kalju,2546,Telekom Arena,Alain Bieri,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-16,21:30,Saburtalo ge,,1–3,,md Sheriff Tiraspol,7560,Mikheil Meskhis sakhelobis Stadioni,Pavel Orel,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-16,19:00,HB fo,,2–2,,fi HJK,620,Gundadalur,Georgios Kominis,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-16,20:00,Valletta mt,,1–1,,lu F91 Dudelange,1512,MFA Centenary Stadium,Juri Frischer,Champions-League,8,2019-2020
First qualifying round,Tue,2019-07-16,20:45,Red Star rs,,2–1,,lt Sūduva,23751,Stadion Rajko Mitić,Ádám Farkas,Champions-League,8,2019-2020
